,name,games,goals,asists,points,seasons
0, Dennis Ivarsson ,210,22,174,196,6.0
1, Vasile Halip ,300,109,61,170,10.0
2, Maigonis Ušackis ,277,94,37,131,10.0
3, Joshua Adams ,205,36,57,93,6.0
4, Ilya Tonkonogov ,210,8,83,91,6.0
5, Bohuslav Kotrba ,247,13,72,85,10.0
6, Mário Iván ,208,17,61,78,6.0
7, Atis Zilgalvis ,194,59,15,74,7.0
8, Folmer Toft ,66,37,8,45,2.0
9, Petr Pozhnikov ,207,7,33,40,6.0
10, Leroy Sizemore ,199,2,37,39,6.0
11,Francis Taukulis ,126,27,8,35,7.0
12, Jurģis Nagrebis ,125,9,16,25,6.0
13, Alberts Timanovskis ,135,6,18,24,6.0
14, Cyrille Boulanger ,52,15,9,24,2.0
15, Vladimirs Znotiņš  ,103,11,10,21,7.0
16, Juris Norītis ,86,0,19,19,4.0
17, Staņislavs Bullītis ,94,14,4,18,4.0
18,Ernests Beļavskis,26,8,8,16,1.0
19, Edgars Miķelsons,161,2,8,10,7.0
20, Karl LoBianco ,21,1,7,8,1.0
21, Uvis Vakseris ,31,4,2,6,2.0
22, Dzidris Skrastiņš ,90,0,6,6,7.0
23, Andris Kraulis ,10,2,1,3,4.0
24, Niks Silmacis ,24,0,2,2,4.0
25, Kaspars Dinsberģis ,52,0,0,0,2.0
26, Edmunds Bambergs ,26,0,0,0,4.0
27,Osvalds Jākabsons,2,0,0,0,1.0
