,index,Total_asists,Total_goals,Total_points
0,Dennis Ivarsson,47.0,8.0,55.0
1,Joshua Adams,26.0,14.0,40.0
2,Atis Zilgalvis,9.0,29.0,38.0
3,Folmer Toft,2.0,30.0,32.0
4,Vasile Halip,11.0,17.0,28.0
5,Maigonis Ušackis,8.0,19.0,27.0
6,Alberts Timanovskis,17.0,9.0,26.0
7,Cyrille Boulanger,8.0,16.0,24.0
8,Ilya Tonkonogov,20.0,4.0,24.0
9,Ernests Beļavskis,10.0,13.0,23.0
10,Bohuslav Kotrba,20.0,2.0,22.0
11,Francis Taukulis,1.0,20.0,21.0
12,Vladimirs Znotiņš,12.0,9.0,21.0
13,Mário Iván,16.0,5.0,21.0
14,Jurģis Nagrebis,13.0,7.0,20.0
15,Petr Pozhnikov,16.0,4.0,20.0
16,Uvis Vakseris,5.0,14.0,19.0
17,Staņislavs Bullītis,7.0,12.0,19.0
18,Juris Norītis,19.0,0.0,19.0
19,Leroy Sizemore,16.0,2.0,18.0
20,Dzidris Skrastiņš,10.0,1.0,11.0
21,Osvalds Jākabsons,11.0,0.0,11.0
22,Niks Silmacis,6.0,4.0,10.0
23,Edgars Miķelsons,9.0,1.0,10.0
24,Karl LoBianco,8.0,1.0,9.0
25,Andris Kraulis,6.0,2.0,8.0
26,Edmunds Bambergs,3.0,4.0,7.0
