,name,age,qua,pot,def,att,sho,pas,spe,str,sco,exp,ai
1,Vasile Halip,30,87,12,0,126,153,38,46,6,27,154,396
2,Cyrille Boulanger,29,100,24,0,154,154,22,33,1,19,88,383
3,Ernests Beļavskis,27,88,29,0,119,148,24,33,5,31,189,360
4,Maigonis Ušackis,26,90,24,0,95,142,30,44,4,26,135,341
5,Folmer Toft,28,88,29,0,97,132,22,56,5,25,188,337
6,Atis Zilgalvis,24,93,41,0,95,136,17,53,3,24,100,328
7,Uvis Vakseris,23,92,53,0,75,117,6,71,2,22,57,293
8,Francis Taukulis,23,87,59,0,80,132,15,39,0,22,68,288
9,Staņislavs Bullītis,23,90,47,0,75,127,7,42,1,19,66,271
10,Niks Silmacis,21,93,65,0,80,53,40,32,0,16,42,221
11,Andris Kraulis,20,91,71,0,72,87,14,8,0,16,25,197
