23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
Tactical points offense 5 defense 5,00:00,
"Francis Taukulis - 1:0 (Niks Silmacis, Staņislavs Bullītis)",03:09,
penalty player - Edmunds Bambergs4 on 5,08:04,
Tactical points offense 5 defense 5,20:00,
Lucas McDonald - 2:0 (perfect pass Juris Norītis),20:16,
,27:00,penalty player - 4 on 5
"Lucas McDonald - 3:0 PPrebound(poor pass Edmunds Bambergs, Jurģis Nagrebis)",28:04,
penalty player - Raimonds Ķiploks4 on 5,29:04,
penalty player - Osvalds Jākabsons4 on 5,34:07,
Tactical points offense 5 defense 5,40:00,
penalty player - Edmunds Bambergs4 on 5,52:09,
,52:41,"Max Miilunpohja - 3:1 PPrebound(poor pass Panu Paukkonen, Kristian Uusitupa)"
Raimonds Ķiploks - 4:1 rebound(genius pass Juris Norītis),57:05,
24.06 - 22:00,Friendly,Lakeside Hoppers,['team_id=39343'],5:2,['match_id=897060558'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
,04:00,penalty player - Juris Norītis4 on 5
"Egor Dzhavadov - 1:0 Counter-attacks(Adam Prachkovskiy, Daumants Latvis)",06:03,
penalty player - Josef Široký4 on 5,09:01,
"Josef Široký - 2:0 (Tobias Vester, Vladimír Pisarčík)",12:47,
,15:00,penalty player - Staņislavs Bullītis4 on 5
penalty player - Adam Prachkovskiy4 on 5,18:03,
,20:00,Tactical points offense 5 defense 5
Egor Dzhavadov - 3:0 (Daumants Latvis),22:12,
penalty player - Tibor Stodola4 on 5,23:56,
,24:31,Cyrille Boulanger - 3:1 PPrebound(unassisted)
,28:48,"Vasile Halip - 3:2 (poor pass Atis Zilgalvis, Jurģis Nagrebis)"
Pulling the goalie,30:37,
,33:20,penalty player - Juris Norītis4 on 5
"Egor Dzhavadov - 4:2 PP (Adam Prachkovskiy, Uģis Ciguļevs)",33:29,
,33:29,Pulling the goalie
,36:10,penalty player - Bohuslav Kotrba4 on 5
,40:00,Tactical points offense 5 defense 5
penalty player - Adam Prachkovskiy4 on 5,42:01,
,48:08,penalty player - Alberts Timanovskis4 on 5
penalty player - Josef Široký4 on 5,51:06,
Uģis Ciguļevs - 5:2 (genius pass Vladimír Pisarčík),55:14,
25.06 - 21:00,League 1.round,HC #Dinamo Riga#,['team_id=7903'],3:5,['match_id=897112194'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
Freddie Gustafsson - 1:0 (excellent pass Nikolay Kukin),02:05,
,02:41,Pulling the goalie
penalty player - Jesse Rasinpuro4 on 5,06:37,
penalty player - Jorma Laurell4 on 5,10:39,
penalty player - 4 on 5,14:53,
,17:29,"Francis Taukulis - 1:1 (Dennis Ivarsson, Bohuslav Kotrba)"
,20:00,Tactical points offense 5 defense 5
,23:39,"Francis Taukulis - 1:2 (Dennis Ivarsson, Staņislavs Bullītis)"
"Piotr Głąb - 2:2 Counter-attacks(genius pass Vidar Myrvold, )",28:09,
,39:18,Francis Taukulis - 2:3 (Dennis Ivarsson)
penalty player - Jorma Laurell4 on 5,39:33,
,40:00,Tactical points offense 5 defense 5
penalty player - Viesturs Japiņš4 on 5,44:11,
penalty player - Alfonso Bouzas4 on 5,50:51,
,50:56,Dennis Ivarsson - 2:4 PP(genius pass Bohuslav Kotrba)
,54:27,"Folmer Toft - 2:5 Counter-attacks, rebound(Mário Iván)"
penalty player - Tobias Maďar4 on 5,56:19,
"Piotr Głąb - 3:5 Counter-attacks(perfect pass Alfonso Bouzas, )",58:31,
26.06 - 21:00,League 2.round,HC Jelgava Stars,['team_id=42152'],4:2,['match_id=897112204'],Rozetes,['team_id=20386']
Tactical points offense 5 defense 5,00:00,
Cyrille Boulanger - 1:0 (neat pass Petr Pozhnikov),01:03,
