Next season!,0

Bohuslav Kotrba,18,113,22,46,6,3.0,-7,0
Vasile Halip,17,99,0,58,1,3.9,0,0
Next season!,1

Bohuslav Kotrba,19,143,29,47,19,2.8,-16,5
Mário Iván,17,85,13,53,21,2.4,-55,0
Next season!,2

Bohuslav Kotrba,20,167,29,35,0,0.0,0,0
Ilya Tonkonogov,17,77,0,57,0,0.0,0,0
Vasile Halip,19,177,10,66,2,2.5,-7,0
Next season!,3

Ernests Beļavskis,17,68,13,46,0,0.0,0,0
Bohuslav Kotrba,21,191,29,35,0,0.0,0,0
Karl LoBianco,20,178,9,39,0,0.0,0,0
Leroy Sizemore,18,114,0,43,0,0.0,0,0
Next season!,4

Bohuslav Kotrba,22,216,35,38,11,5.0,2,0
Vasile Halip,21,232,16,38,10,4.1,-2,0
Maigonis Ušackis,17,92,8,54,17,3.9,1,0
Leroy Sizemore,19,151,0,53,0,0.0,0,0
Mário Iván,20,170,54,54,10,5.6,4,0
Dennis Ivarsson,19,155,36,53,0,0.0,0,0
Next season!,5

Edgars Miķelsons,17,76,6,49,0,0.0,0,0
Bohuslav Kotrba,23,242,42,38,2,4.0,-2,0
Karl LoBianco,22,232,15,37,1,3.4,-1,0
Vasile Halip,22,260,27,40,19,4.5,-14,0
Maigonis Ušackis,18,129,20,54,12,4.0,-12,0
Leroy Sizemore,20,178,0,40,0,0.0,0,1
Mário Iván,21,218,64,27,0,0.0,0,0
Petr Pozhnikov,19,146,18,49,10,3.5,-11,0
Dennis Ivarsson,20,182,39,41,1,4.0,0,0
Next season!,6

Edgars Miķelsons,18,111,14,52,0,0.0,0,0
Atis Zilgalvis,17,94,14,56,0,0.0,0,2
Bohuslav Kotrba,24,272,48,39,0,0.0,0,0
Karl LoBianco,23,255,16,38,0,0.0,0,2
Vasile Halip,23,288,47,42,30,3.5,-23,0
Maigonis Ušackis,19,165,35,54,22,2.9,-22,6
Leroy Sizemore,21,205,0,39,0,0.0,0,0
Mário Iván,22,243,64,33,0,0.0,0,0
Petr Pozhnikov,20,203,32,47,26,3.7,-12,0
Cyrille Boulanger,22,243,8,40,15,4.3,6,0
Dennis Ivarsson,21,210,44,39,4,4.2,-2,0
Next season!,7

Vladimirs Znotiņš,17,89,15,56,1,3.3,-1,1
Edgars Miķelsons,19,148,21,53,3,3.8,-2,0
Atis Zilgalvis,18,134,22,58,4,3.8,-4,0
Bohuslav Kotrba,25,289,62,26,32,4.0,6,3
Francis Taukulis,17,99,16,53,1,3.4,-1,1
Jurģis Nagrebis,17,79,11,57,0,0.0,0,0
Ilya Tonkonogov,22,246,33,51,28,2.8,-22,0
Vasile Halip,24,317,62,45,36,4.1,3,5
Maigonis Ušackis,20,193,46,43,21,4.1,2,5
Leroy Sizemore,22,233,0,40,0,0.0,0,0
Mário Iván,23,266,64,33,0,0.0,0,0
Petr Pozhnikov,21,217,34,47,4,4.0,1,0
Dennis Ivarsson,22,242,60,44,18,3.5,-16,0
Dzidris Skrastiņš,17,90,17,52,2,3.6,-1,0
Alberts Timanovskis,17,73,9,59,0,0.0,0,0
Next season!,8

Vladimirs Znotiņš,18,130,17,55,5,3.7,-2,1
Edgars Miķelsons,20,178,23,43,5,3.2,-6,0
Atis Zilgalvis,19,173,27,57,6,3.9,-4,1
Bohuslav Kotrba,26,303,78,23,24,4.8,-3,10
Francis Taukulis,18,137,19,53,6,3.5,-6,0
Jurģis Nagrebis,18,118,11,58,1,3.5,-1,2
Ilya Tonkonogov,23,250,33,45,0,0.0,0,0
Juris Norītis,17,98,13,55,0,0.0,0,0
Vasile Halip,25,335,79,25,27,4.0,1,6
Maigonis Ušackis,21,225,59,45,28,3.2,-6,0
Leroy Sizemore,23,259,12,39,25,3.2,-11,0
Joshua Adams,23,278,44,41,27,3.8,-18,0
Uvis Vakseris,18,124,28,59,30,3.4,-60,2
Mário Iván,24,283,81,26,29,3.7,-8,1
Petr Pozhnikov,22,261,47,43,26,3.7,-9,0
Wiktor Juszko,19,165,39,54,1,4.0,0,0
